//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
// Class:
// 	DW -> 0
// 	DK -> 1
// 	FE -> 2
// 	MG -> 3
// 	DL -> 4
// 	SU -> 5
//	RF -> 6
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//Start Character Buff
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
	//Class  Section   Type   Level   Dur   Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5 Time
0
//	0 	 7         3      7       0     0       0      0        0	0	0	0	255	255	255	255	255	80000
end
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
//Start Character Buff
//////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
1
	//Class	Effect	Power1	Power2	Time 
// 	DW -> 0
	0	44	30	0	1440
	0	45	30	0	1440
	0	46	30	0	1440
	0	47	30	0	1440
	0	48	30	0	1440
	0	49	30	0	1440
	0	89	30	0	1440
	0	90	30	0	1440
	0	105	0	0	1    //Efeito Storm
	0	3	30	0	1440 //Elf Soldier Buff


// 	DK -> 1
	1	44	30	0	1440
	1	45	30	0	1440
	1	46	30	0	1440
	1	47	30	0	1440
	1	48	30	0	1440
	1	49	30	0	1440
	1	89	30	0	1440
	1	90	30	0	1440
	1	105	0	0	1    //Efeito Storm
	1	3	30	0	1440 //Elf Soldier Buff

// 	FE -> 2
	2	44	30	0	1440
	2	45	30	0	1440
	2	46	30	0	1440
	2	47	30	0	1440
	2	48	30	0	1440
	2	49	30	0	1440
	2	89	30	0	1440
	2	90	30	0	1440
	2	6	30	0	1440 //Infinite Arrow
	2	105	0	0	1   //Efeito Storm
	2	3	30	0	1440 //Elf Soldier Buff

// 	MG -> 3
	3	44	30	0	1440
	3	45	30	0	1440
	3	46	30	0	1440
	3	47	30	0	1440
	3	48	30	0	1440
	3	49	30	0	1440
	3	89	30	0	1440
	3	90	30	0	1440
	3	105	0	0	1    //Efeito Storm
	3	3	30	0	1440 //Elf Soldier Buff

// 	DL -> 4
	4	44	30	0	1440
	4	45	30	0	1440
	4	46	30	0	1440
	4	47	30	0	1440
	4	48	30	0	1440
	4	49	30	0	1440
	4	89	30	0	1440
	4	90	30	0	1440
	4	105	0	0	1    //Efeito Storm
	4	3	30	0	1440 //Elf Soldier Buff

// 	SU -> 5
	5	44	30	0	1440
	5	45	30	0	1440
	5	46	30	0	1440
	5	47	30	0	1440
	5	48	30	0	1440
	5	49	30	0	1440
	5	89	30	0	1440
	5	90	30	0	1440
	5	105	0	0	1    //Efeito Storm
	5	3	30	0	1440 //Elf Soldier Buff

//	RF -> 6
	6	44	30	0	1440
	6	45	30	0	1440
	6	46	30	0	1440
	6	47	30	0	1440
	6	48	30	0	1440
	6	49	30	0	1440
	6	89	30	0	1440
	6	90	30	0	1440
	6	105	0	0	1    //Efeito Storm
	6	3	30	0	1440 //Elf Soldier Buff
end
