//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//======================================================================================================================================================================================================
// EVENT EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     00     0        0
0         *      *       *     *     06     0        0
0         *      *       *     *     12     0        0
0         *      *       *     *     18     0        0
//======================================================================================================================================================================================================
// FEREA EVENT EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
1         *      *       *     2     02     30       0
1         *      *       *     2     08     30       0
1         *      *       *     2     14     30       0
1         *      *       *     2     20     30       0
//======================================================================================================================================================================================================
// NIXIES LAKE EVENT EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
2         *      *       *     3     02     30       0
2         *      *       *     3     08     30       0
2         *      *       *     3     14     30       0
2         *      *       *     3     20     30       0
//======================================================================================================================================================================================================
// SWAMP OF DARKNESS EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
3         *      *       *     4     02     30       0
3         *      *       *     4     08     30       0
3         *      *       *     4     14     30       0
3         *      *       *     4     20     30       0
//======================================================================================================================================================================================================
// KUBERA MINE EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
4         *      *       *     5     02     30       0
4         *      *       *     5     08     30       0
4         *      *       *     5     14     30       0
4         *      *       *     5     20     30       0
//======================================================================================================================================================================================================
// SCOTCH CANYON EXP
//======================================================================================================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
5         *      *       *     6     02     30       0
5         *      *       *     6     08     30       0
5         *      *       *     6     14     30       0
5         *      *       *     6     20     30       0
end

1
//======================================================================================================================================================================================================
// EVENT EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
0             1500                  1501             3600
//======================================================================================================================================================================================================
// FEREA EVENT EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
1             1528                  1501             3600 
//======================================================================================================================================================================================================
// NIXIES LAKE EVENT EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
2             1529                  1501             3600
//======================================================================================================================================================================================================
// SWAMP OF DARKNESS EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
3             1530                  1501             3600
//======================================================================================================================================================================================================
// KUBERA MINE EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
4             1531                  1501             3600
//======================================================================================================================================================================================================
// SCOTCH CANYON EXP
//======================================================================================================================================================================================================
//Index       StartMessage          FinalMessage     BonusTime
5             1532                  1501             3600
end


2
//======================================================================================================================================================================================================
// EVENT EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
0         0            20               20               20               20               *           *           -1          -1             -1                -1  
0         1            20               20               20               20               *           *           -1          -1             -1                -1
0         2            20               20               20               20               *           *           -1          -1             -1                -1    
//======================================================================================================================================================================================================
// FEREA EVENT EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
1         0            20               20               20               20               *           *           85          -1             -1                -1            
//======================================================================================================================================================================================================
// NIXIES LAKE EVENT EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
2         0            20               20               20               20               *           *           84          -1             -1                -1  
//======================================================================================================================================================================================================
// SWAMP OF DARKNESS EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
3         0            20               20               20               20               *           *           83          -1             -1                -1     
//======================================================================================================================================================================================================
// KUBERA MINE EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
4         0            20               20               20               20               *           *           87          -1             -1                -1    
//======================================================================================================================================================================================================
// SCOTCH CANYON EXP
//======================================================================================================================================================================================================
//Index   BonusIndex   BonusValue_AL0   BonusValue_AL1   BonusValue_AL2   BonusValue_AL3   ItemIndex   ItemLevel   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax
5         0            20               20               20               20               *           *           87          -1             -1                -1    

end
