//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//NotifyTime   EventTime   CloseTime
1              10          1         
end

1
//DefaultMonsterAIUnitNumber   SupportMonsterAIUnitNumber
72                             73
end

2
//Index   Level   MaxLife   DamageMin   DamageMax   Defense   AttackRate   DefenseRate
0         45      1.00      1.00        1.00        1.00      1.00         1.00
1         46      1.00      1.00        1.00        1.00      1.00         1.00
2         47      1.00      1.00        1.00        1.00      1.00         1.00
3         48      1.00      1.00        1.00        1.00      1.00         1.00
4         49      1.00      1.00        1.00        1.00      1.00         1.00
5         50      1.00      1.00        1.00        1.00      1.00         1.00
6         51      1.00      1.00        1.00        1.00      1.00         1.00
7         52      1.00      1.00        1.00        1.00      1.00         1.00
8         53      1.00      1.00        1.00        1.00      1.00         1.00
9         54      1.00      1.00        1.00        1.00      1.00         1.00
10        55      1.00      1.00        1.00        1.00      1.00         1.00
11        56      1.00      1.00        1.00        1.00      1.00         1.00
12        57      1.00      1.00        1.00        1.00      1.00         1.00
13        58      1.00      1.00        1.00        1.00      1.00         1.00
14        59      1.00      1.00        1.00        1.00      1.00         1.00
15        60      1.00      1.00        1.00        1.00      1.00         1.00
16        61      1.00      1.00        1.00        1.00      1.00         1.00
17        62      1.00      1.00        1.00        1.00      1.00         1.00
18        63      1.00      1.00        1.00        1.00      1.00         1.00
19        64      1.00      1.00        1.00        1.00      1.00         1.00
20        66      1.00      1.00        1.00        1.00      1.00         1.00
21        68      1.00      1.00        1.00        1.00      1.00         1.00
22        70      1.00      1.00        1.00        1.00      1.00         1.00
23        72      1.00      1.00        1.00        1.00      1.00         1.00
24        74      1.00      1.00        1.00        1.00      1.00         1.00
25        76      1.00      1.00        1.00        1.00      1.00         1.00
26        78      1.00      1.00        1.00        1.00      1.00         1.00
27        80      1.00      1.00        1.00        1.00      1.00         1.00
28        82      1.00      1.00        1.00        1.00      1.00         1.00
29        85      1.00      1.00        1.00        1.00      1.00         1.00
30        87      1.00      1.00        1.00        1.00      1.00         1.00
31        89      1.00      1.00        1.00        1.00      1.00         1.00
32        91      1.00      1.00        1.00        1.00      1.00         1.00
33        93      1.00      1.00        1.00        1.00      1.00         1.00
34        95      1.00      1.00        1.00        1.00      1.00         1.00
35        97      1.00      1.00        1.00        1.00      1.00         1.00
36        99      1.00      1.00        1.00        1.00      1.00         1.00
37        101     1.00      1.00        1.00        1.00      1.00         1.00
38        103     1.00      1.00        1.00        1.00      1.00         1.00
39        105     1.00      1.00        1.00        1.00      1.00         1.00
40        107     1.00      1.00        1.00        1.00      1.00         1.00
41        109     1.00      1.00        1.00        1.00      1.00         1.00
42        111     1.00      1.00        1.00        1.00      1.00         1.00
43        113     1.00      1.00        1.00        1.00      1.00         1.00
44        115     1.00      1.00        1.00        1.00      1.00         1.00
45        117     1.00      1.00        1.00        1.00      1.00         1.00
46        119     1.00      1.00        1.00        1.00      1.00         1.00
47        121     1.00      1.00        1.00        1.00      1.00         1.00
48        123     1.00      1.00        1.00        1.00      1.00         1.00
49        125     1.00      1.00        1.00        1.00      1.00         1.00
50        127     1.00      1.00        1.00        1.00      1.00         1.00
51        129     1.00      1.00        1.00        1.00      1.00         1.00
52        131     1.00      1.00        1.00        1.00      1.00         1.00
53        133     1.00      1.00        1.00        1.00      1.00         1.00
54        135     1.00      1.00        1.00        1.00      1.00         1.00
55        137     1.00      1.00        1.00        1.00      1.00         1.00
56        139     1.00      1.00        1.00        1.00      1.00         1.00
57        141     1.00      1.00        1.00        1.00      1.00         1.00
58        143     1.00      1.00        1.00        1.00      1.00         1.00
59        145     1.00      1.00        1.00        1.00      1.00         1.00
end
