//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//================================================================================================================
// SKELETON KING
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
0         *      *       *     *     0      5        0
0         *      *       *     *     4      5        0
0         *      *       *     *     8      5        0
0         *      *       *     *     12     5        0
0         *      *       *     *     16     5        0
0         *      *       *     *     20     5        0
//================================================================================================================
// RED DRAGON
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
1         *      *       *     *     0      15       0
1         *      *       *     *     4      15       0
1         *      *       *     *     8      15       0
1         *      *       *     *     12     15       0
1         *      *       *     *     16     15       0
1         *      *       *     *     20     15       0
//================================================================================================================
// DOURADOS
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
2         *      *       *     *     0      25       0
2         *      *       *     *     4      25       0
2         *      *       *     *     8      25       0
2         *      *       *     *     12     25       0
2         *      *       *     *     16     25       0
2         *      *       *     *     17     25       0
2         *      *       *     *     18     25       0
2         *      *       *     *     19     25       0
2         *      *       *     *     20     25       0
2         *      *       *     *     21     25       0
2         *      *       *     *     22     25       0
2         *      *       *     *     23     25       0
//================================================================================================================
// WHITE WIZARD
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
3         *      *       *     *     0      50       0
3         *      *       *     *     4      50       0
3         *      *       *     *     8      50       0
3         *      *       *     *     12     50       0
3         *      *       *     *     16     50       0
3         *      *       *     *     20     50       0
//================================================================================================================
// INVASÃO DE ANO NOVO
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
4         *      *       *     *     2      5        0
4         *      *       *     *     6      5        0
4         *      *       *     *     10     5        0
4         *      *       *     *     14     5        0
4         *      *       *     *     18     5        0
4         *      *       *     *     22     5        0
//================================================================================================================
// COELHOS
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
5         *      *       *     *     2      15       0
5         *      *       *     *     6      15       0
5         *      *       *     *     10     15       0
5         *      *       *     *     14     15       0
5         *      *       *     *     18     15       0
5         *      *       *     *     22     15       0
//================================================================================================================
// INVASÃO DE VERÃO
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
6         *      *       *     *     2      25       0
6         *      *       *     *     6      25       0
6         *      *       *     *     10     25       0
6         *      *       *     *     14     25       0
6         *      *       *     *     18     25       0
6         *      *       *     *     22     25       0
//================================================================================================================
// INVASÃO NATAL
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
7         *      *       *     *     2      50       0
7         *      *       *     *     6      50       0
7         *      *       *     *     10     50       0
7         *      *       *     *     14     50       0
7         *      *       *     *     18     50       0
7         *      *       *     *     22     50       0
//================================================================================================================
// MEDUSA
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
8         *      *       *     *     03     00       0
//================================================================================================================
// NOVOS BOSSES
//================================================================================================================
//Index   Year   Month   Day   DoW   Hour   Minute   Second
9         *      *       *     6     21     30       0 //[Crystal Orb] Lord of Ferea
