//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//Cycle
7
end

1
//State   StartDay   StartHour   StartMinute
1	  0	     0	         0	// Registro de Castle Siege
2	  1	     23	         59	// idle state
3	  2	     0	         0	// Registro do status da Mark of Lord
4	  3	     0	         0	// idle state
5	  4	     12	         0	// Notificação de Ataque ao Castelo às guilds
6	  4	     19	         0	// Lendo o estado de Castle Siege
7	  6	     14	         0	// Início de Castle Siege
8	  6	     15	         0	// Fim de Castle Siege
9	  7	     0	         0	// Fim do ciclo de Castle Siege (Volta automaticamente para o 1)
end

2
//Monster   Index   Side   DBSave   DFLevel   RGLevel   MaxLife   X      Y      TX      TY      Dir
283	    1	    1	   1	    0	      0	        40000000  94     227	-1	-1      1
283	    2	    1	   1	    0	      0	        40000000  94     182	-1	-1      1
283	    3	    1	   1	    0	      0	        40000000  82     130	-1	-1      1
283	    4	    1	   1	    0	      0	        40000000  107	 130	-1	-1      1
277	    1	    1	   1	    0	      0	        50000000  93	 204	-1	-1      1
277	    2	    1	   1	    0	      0	        50000000  81	 161	-1	-1      1
277	    3	    1	   1	    0	      0	        50000000  107	 161	-1	-1      1
277	    4	    1	   1	    0	      0	        50000000  67	 114	-1	-1      1
277	    5	    1	   1	    0	      0	        50000000  93	 114	-1	-1      1
277	    6	    1	   1	    0	      0	        50000000  119	 114	-1	-1      1
288	    1	    0	   1	    0	      0	        80000000  75	 130	-1	-1      1
288	    2	    0	   1	    0	      0	        80000000  88	 130	-1	-1      1
288	    3	    0	   1	    0	      0	        80000000  99	 130	-1	-1      1
288	    4	    0	   1	    0	      0	        80000000  114	 130	-1	-1      1
288	    5	    0	   1	    0	      0	        80000000  94	 151	-1	-1      1
288	    6	    0	   1	    0	      0	        80000000  88	 182	-1	-1      1
288	    7	    0	   1	    0	      0	        80000000  100	 182	-1	-1      1
288	    8	    0	   1	    0	      0	        80000000  94	 221	-1	-1      1
288	    9	    0	   1	    0	      0	        80000000  94	 233	-1	-1      1
215	    1	    0	   1	    0	      0	        1000000   94	 242	-1	-1      1
222	    1	    0	   1	    0	      0	        1000000   80	 188	-1	-1      1
222	    2	    0	   1	    0	      0	        1000000   105	 188	-1	-1      1
221	    1	    0	   2	    0	      0	        1000000   63	 19	-1	-1      5
221	    2	    0	   2	    0	      0	        1000000   119	 19	-1	-1      5
end
