//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"Silver Medal"	         2000000   40		  1		  0		    0		   1            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
12          15     0          0          0       0      0        0
12          15     0          0          0       0      0        0
12          15     0          0          0       0      0        0
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          41     0          0          0       0      0        0
14          41     0          0          0       0      0        0
14          41     0          0          0       0      0        0
14          41     0          0          0       0      0        0
end
