//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"Senior Mix"		 1000	   100		  1		  0		    0		   0            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           42     0          0          1       0      0        2 //ba sword
0           44     0          0          1       0      0        2 //ba magic sword
0           100     0          0          1       0      0        2 //ba claw
2           22     0          0          1       0      0        2 //ba scepter
4           28     0          0          1       0      0        2 //ba bow
5           41     0          0          1       0      0        2 //ba staff
5           43     0          0          1       0      0        2 //ba Stick

0           42     0          0          1       0      0        1 //ba sword
0           44     0          0          1       0      0        1 //ba magic sword
0           100     0          0          1       0      0        1 //ba claw
2           22     0          0          1       0      0        1 //ba scepter
4           28     0          0          1       0      0        1 //ba bow
5           41     0          0          1       0      0        1 //ba staff
5           43     0          0          1       0      0        1 //ba Stick

0           42     0          0          1       0      0        2 //ba sword
0           44     0          0          1       0      0        2 //ba magic sword
0           100     0          0          1       0      0        2 //ba claw
2           22     0          0          1       0      0        2 //ba scepter
4           28     0          0          1       0      0        2 //ba bow
5           41     0          0          1       0      0        2 //ba staff
5           43     0          0          1       0      0        2 //ba Stick

0           52     0          0          1       0      0        1 //da sword
0           53     0          0          1       0      0        2 //da magic sword
0           102     0          0          1       0      0        1 //da claw
2           26     0          0          1       0      0        1 //da scepter
4           31     0          0          1       0      0        1 //da bow
5           51     0          0          1       0      0        1 //da staff
5           53     0          0          1       0      0        1 //da Stick

0           52     0          0          1       0      0        2 //da sword
0           53     0          0          1       0      0        2 //da magic sword
0           102     0          0          1       0      0        2 //da claw
2           26     0          0          1       0      0        2 //da scepter
4           31     0          0          1       0      0        2 //da bow
5           51     0          0          1       0      0        2 //da staff
5           53     0          0          1       0      0        2 //da Stick

0           52     0          0          1       0      0        2 //da sword
0           53     0          0          1       0      0        2 //da magic sword
0           102     0          0          1       0      0        2 //da claw
2           26     0          0          1       0      0        2 //da scepter
4           31     0          0          1       0      0        2 //da bow
5           51     0          0          1       0      0        2 //da staff
5           53     0          0          1       0      0        2 //da Stick

14           405     0          0          0       0      0        0 //Garuda flame
14           406     0          0          0       0      0        0 //Garuda feather
14           409     0          0          0       0      0        0 //steel of heaven

7           145     0          0          0       1      0        2 //HA HELM
7           146     0          0          0       1      0        2 //HA HELM
7           147     0          0          0       1      0        2 //HA HELM
7           148     0          0          0       1      0        2 //HA HELM
7           150     0          0          0       1      0        2 //HA HELM
7           151     0          0          0       1      0        2 //HA HELM

8           145     0          0          0       1      0        2 //HA armor
8           146     0          0          0       1      0        2 //HA armor
8           147     0          0          0       1      0        2 //HA armor
8           148     0          0          0       1      0        2 //HA armor
8           149     0          0          0       1      0        2 //HA armor
8           150     0          0          0       1      0        2 //HA armor
8           151     0          0          0       1      0        2 //HA armor

9           145     0          0          0       1      0        2 //HA pants
9           146     0          0          0       1      0        2 //HA pants
9           147     0          0          0       1      0        2 //HA pants
9           148     0          0          0       1      0        2 //HA pants
9           149     0          0          0       1      0        2 //HA pants
9           150     0          0          0       1      0        2 //HA pants
9           151     0          0          0       1      0        2 //HA pants

10           145     0          0          0       1      0        2 //HA gloves
10           146     0          0          0       1      0        2 //HA gloves
10           147     0          0          0       1      0        2 //HA gloves
10           148     0          0          0       1      0        2 //HA gloves
10           149     0          0          0       1      0        2 //HA gloves
10           150     0          0          0       1      0        2 //HA gloves

11           145     0          0          0       1      0        2 //HA gloves
11           146     0          0          0       1      0        2 //HA gloves
11           147     0          0          0       1      0        2 //HA gloves
11           148     0          0          0       1      0        2 //HA gloves
11           149     0          0          0       1      0        2 //HA gloves
11           150     0          0          0       1      0        2 //HA gloves
11           151     0          0          0       1      0        2 //HA gloves

7           145     0          0          0       1      0        3 //HA HELM
7           146     0          0          0       1      0        3 //HA HELM
7           147     0          0          0       1      0        3 //HA HELM
7           148     0          0          0       1      0        3 //HA HELM
7           150     0          0          0       1      0        3 //HA HELM
7           151     0          0          0       1      0        3 //HA HELM

8           145     0          0          0       1      0        3 //HA armor
8           146     0          0          0       1      0        3 //HA armor
8           147     0          0          0       1      0        3 //HA armor
8           148     0          0          0       1      0        3 //HA armor
8           149     0          0          0       1      0        3 //HA armor
8           150     0          0          0       1      0        3 //HA armor
8           151     0          0          0       1      0        3 //HA armor

9           145     0          0          0       1      0        3 //HA pants
9           146     0          0          0       1      0        3 //HA pants
9           147     0          0          0       1      0        3 //HA pants
9           148     0          0          0       1      0        3 //HA pants
9           149     0          0          0       1      0        3 //HA pants
9           150     0          0          0       1      0        3 //HA pants
9           151     0          0          0       1      0        3 //HA pants

10           145     0          0          0       1      0        3 //HA gloves
10           146     0          0          0       1      0        3 //HA gloves
10           147     0          0          0       1      0        3 //HA gloves
10           148     0          0          0       1      0        3 //HA gloves
10           149     0          0          0       1      0        3 //HA gloves
10           150     0          0          0       1      0        3 //HA gloves

11           145     0          0          0       1      0        3 //HA gloves
11           146     0          0          0       1      0        3 //HA gloves
11           147     0          0          0       1      0        3 //HA gloves
11           148     0          0          0       1      0        3 //HA gloves
11           149     0          0          0       1      0        3 //HA gloves
11           150     0          0          0       1      0        3 //HA gloves
11           151     0          0          0       1      0        3 //HA gloves

7           152     0          0          0       1      0        2 //awa HELM
7           153     0          0          0       1      0        2 //awa HELM
7           154     0          0          0       1      0        2 //awa HELM
7           155     0          0          0       1      0        2 //awa HELM
7           157     0          0          0       1      0        2 //awa HELM
7           158     0          0          0       1      0        2 //awa HELM

8           152     0          0          0       1      0        2 //awa armor
8           153     0          0          0       1      0        2 //awa armor
8           154     0          0          0       1      0        2 //awa armor
8           155     0          0          0       1      0        2 //awa armor
8           156     0          0          0       1      0        2 //awa armor
8           157     0          0          0       1      0        2 //awa armor
8           158     0          0          0       1      0        2 //awa armor

9           152     0          0          0       1      0        2 //awa pants
9           153     0          0          0       1      0        2 //awa pants
9           154     0          0          0       1      0        2 //awa pants
9           155     0          0          0       1      0        2 //awa pants
9           156     0          0          0       1      0        2 //awa pants
9           157     0          0          0       1      0        2 //awa pants
9           158     0          0          0       1      0        2 //awa pants

10           152     0          0          0       1      0        2 //awa globes
10           153     0          0          0       1      0        2 //awa globes
10           154     0          0          0       1      0        2 //awa pants
10           155     0          0          0       1      0        2 //awa globes
10           156     0          0          0       1      0        2 //awa globes
10           157     0          0          0       1      0        2 //awa globes

11           152     0          0          0       1      0        2 //awa buts
11           153     0          0          0       1      0        2 //awa buts
11           154     0          0          0       1      0        2 //awa buts
11           155     0          0          0       1      0        2 //awa buts
11           156     0          0          0       1      0        2 //awa buts
