//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"Blue Chocolate Box"	 999999    40		  1		  0		    0		   0            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          16     0          0          0       0      0        0
12          15     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          42     0          0          0       0      0        0
14          31     0          0          0       0      0        0
13          20     0          0          0       0      0        0

5           7      0          6          1       1      1        1
4           6      0          6          1       1      1        1
2           6      0          6          1       1      1        1
end
