//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"Green Mistery Box"	 5000000   40		  1		  0		    0		   0            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
7           6      0          9          0       1      1        1
8           6      0          9          0       1      1        1
9           6      0          9          0       1      1        1
10          6      0          9          0       1      1        1
11          6      0          9          0       1      1        1
7           11     0          9          0       1      1        1
8           11     0          9          0       1      1        1
9           11     0          9          0       1      1        1
10          11     0          9          0       1      1        1
11          11     0          9          0       1      1        1
7           4      0          9          0       1      1        1
8           4      0          9          0       1      1        1
9           4      0          9          0       1      1        1
10          4      0          9          0       1      1        1
11          4      0          9          0       1      1        1
7           8      0          9          0       1      1        1
8           8      0          9          0       1      1        1
9           8      0          9          0       1      1        1
10          8      0          9          0       1      1        1
11          8      0          9          0       1      1        1
7           12     0          9          0       1      1        1
8           12     0          9          0       1      1        1
9           12     0          9          0       1      1        1
10          12     0          9          0       1      1        1
11          12     0          9          0       1      1        1
7           7      0          9          0       1      1        1
8           7      0          9          0       1      1        1
9           7      0          9          0       1      1        1
10          7      0          9          0       1      1        1
11          7      0          9          0       1      1        1
7           39     0          9          0       1      1        1
8           39     0          9          0       1      1        1
9           39     0          9          0       1      1        1
10          39     0          9          0       1      1        1
11          39     0          9          0       1      1        1
0           7      0          9          1       1      1        1
0           9      0          9          1       1      1        1
0           5      0          9          1       1      1        1
0           11     0          9          1       1      1        1
1           3      0          9          1       1      1        1
4           9      0          9          1       1      1        1
4           11     0          9          1       1      1        1
4           4      0          9          1       1      1        1
4           12     0          9          1       1      1        1
5           1      0          9          1       1      1        1
5           2      0          9          1       1      1        1
5           3      0          9          1       1      1        1
5           14     0          9          1       1      1        1
6           9      0          9          1       1      1        1
6           11     0          9          1       1      1        1
6           3      0          9          1       1      1        1
6           6      0          9          1       1      1        1
6           5      0          9          1       1      1        1
14          19     1          2          0       0      0        0
13          18     1          3          0       0      0        0
end
