//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks    DropInventory
"Pink Mistery Box"	 5000000   40		  1		  0		    0		   0            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           14     0          9          1       1      1        1
2           5      0          9          1       1      1        1
3           9      0          9          1       1      1        1
4           5      0          9          1       1      1        1
4           13     0          9          1       1      1        1
2           9      0          9          1       1      1        1
5           5      0          9          1       1      1        1
5           15     0          9          1       1      1        1
7           9      0          9          0       1      1        1
8           9      0          9          0       1      1        1
9           9      0          9          0       1      1        1
10          9      0          9          0       1      1        1
11          9      0          9          0       1      1        1
7           13     0          9          0       1      1        1
8           13     0          9          0       1      1        1
9           13     0          9          0       1      1        1
10          13     0          9          0       1      1        1
11          13     0          9          0       1      1        1
7           25     0          9          0       1      1        1
8           25     0          9          0       1      1        1
9           25     0          9          0       1      1        1
10          25     0          9          0       1      1        1
11          25     0          9          0       1      1        1
7           1      0          9          0       1      1        1
8           1      0          9          0       1      1        1
9           1      0          9          0       1      1        1
10          1      0          9          0       1      1        1
11          1      0          9          0       1      1        1
7           14     0          9          0       1      1        1
8           14     0          9          0       1      1        1
9           14     0          9          0       1      1        1
10          14     0          9          0       1      1        1
11          14     0          9          0       1      1        1
7           3      0          9          0       1      1        1
8           3      0          9          0       1      1        1
9           3      0          9          0       1      1        1
10          3      0          9          0       1      1        1
11          3      0          9          0       1      1        1
7           40     0          9          0       1      1        1
8           40     0          9          0       1      1        1
9           40     0          9          0       1      1        1
10          40     0          9          0       1      1        1
11          40     0          9          0       1      1        1
7           26     0          9          0       1      1        1
8           26     0          9          0       1      1        1
9           26     0          9          0       1      1        1
10          26     0          9          0       1      1        1
7           34     0          9          0       1      1        1
8           34     0          9          0       1      1        1
9           34     0          9          0       1      1        1
10          34     0          9          0       1      1        1
11          34     0          9          0       1      1        1
7           35     0          9          0       1      1        1
8           35     0          9          0       1      1        1
9           35     0          9          0       1      1        1
10          35     0          9          0       1      1        1
11          35     0          9          0       1      1        1
7           36     0          9          0       1      1        1
8           36     0          9          0       1      1        1
9           36     0          9          0       1      1        1
10          36     0          9          0       1      1        1
11          36     0          9          0       1      1        1
7           41     0          9          0       1      1        1
8           41     0          9          0       1      1        1
9           41     0          9          0       1      1        1
10          41     0          9          0       1      1        1
11          41     0          9          0       1      1        1
8           15     0          9          0       1      1        1
9           15     0          9          0       1      1        1
10          15     0          9          0       1      1        1
11          15     0          9          0       1      1        1
6           14     0          9          1       1      1        1
6           12     0          9          1       1      1        1
6           13     0          9          1       1      1        1
5           2      0          0          1       1      1        1
5           3      0          0          1       1      1        1
1           3      0          0          1       1      1        1
0           5      0          0          1       1      1        1
4           4      0          0          1       1      1        1
4           12     0          0          1       1      1        1
2           8      0          0          1       1      1        1
0           11     0          0          1       1      1        1
5           14     0          0          1       1      1        1
7           9      0          0          0       1      1        1
8           9      0          0          0       1      1        1
9           9      0          0          0       1      1        1
10          9      0          0          0       1      1        1
11          9      0          0          0       1      1        1
7           13     0          0          0       1      1        1
8           13     0          0          0       1      1        1
9           13     0          0          0       1      1        1
10          13     0          0          0       1      1        1
11          13     0          0          0       1      1        1
7           25     0          0          0       1      1        1
8           25     0          0          0       1      1        1
9           25     0          0          0       1      1        1
10          25     0          0          0       1      1        1
11          25     0          0          0       1      1        1
7           1      0          0          0       1      1        1
8           1      0          0          0       1      1        1
9           1      0          0          0       1      1        1
10          1      0          0          0       1      1        1
11          1      0          0          0       1      1        1
7           14     0          0          0       1      1        1
8           14     0          0          0       1      1        1
9           14     0          0          0       1      1        1
10          14     0          0          0       1      1        1
11          14     0          0          0       1      1        1
7           3      0          0          0       1      1        1
8           3      0          0          0       1      1        1
9           3      0          0          0       1      1        1
10          3      0          0          0       1      1        1
11          3      0          0          0       1      1        1
7           40     0          0          0       1      1        1
8           40     0          0          0       1      1        1
9           40     0          0          0       1      1        1
10          40     0          0          0       1      1        1
11          40     0          0          0       1      1        1
6           5      0          0          1       1      1        1
6           11     0          0          1       1      1        1
6           12     0          0          1       1      1        1
12          15     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          19     3          4          0       0      0        0
13          18     4          5          0       0      0        0
13          51     1          2          0       0      0        0
end
