//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"Purple Mistery Box"	 5000000   40		  1		  0		    0		   0            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
0           16     0          9          1       1      1        1
0           17     0          9          1       1      1        1
4           16     0          9          1       1      1        1
5           6      0          9          1       1      1        1
5           8      0          9          1       1      1        1
5           17     0          9          1       1      1        1
0           18     0          9          1       1      1        1
2           10     0          9          1       1      1        1
7           18     0          9          0       1      1        1
8           18     0          9          0       1      1        1
9           18     0          9          0       1      1        1
10          18     0          9          0       1      1        1
11          18     0          9          0       1      1        1
8           20     0          9          0       1      1        1
9           20     0          9          0       1      1        1
10          20     0          9          0       1      1        1
11          20     0          9          0       1      1        1
7           17     0          9          0       1      1        1
8           17     0          9          0       1      1        1
9           17     0          9          0       1      1        1
10          17     0          9          0       1      1        1
11          17     0          9          0       1      1        1
7           19     0          9          0       1      1        1
8           19     0          9          0       1      1        1
9           19     0          9          0       1      1        1
10          19     0          9          0       1      1        1
11          19     0          9          0       1      1        1
7           38     0          9          0       1      1        1
8           38     0          9          0       1      1        1
9           38     0          9          0       1      1        1
10          38     0          9          0       1      1        1
11          38     0          9          0       1      1        1
7           41     0          9          0       1      1        1
8           41     0          9          0       1      1        1
9           41     0          9          0       1      1        1
10          41     0          9          0       1      1        1
11          41     0          9          0       1      1        1
6           15     0          9          0       1      1        1
6           16     0          9          0       1      1        1
5           5      0          9          0       1      1        1
3           9      0          9          0       1      1        1
4           5      0          9          0       1      1        1
0           14     0          9          0       1      1        1
2           5      0          9          0       1      1        1
2           9      0          9          0       1      1        1
4           13     0          9          0       1      1        1
5           15     0          9          0       1      1        1
7           34     0          9          0       1      1        1
8           34     0          9          0       1      1        1
9           34     0          9          0       1      1        1
10          34     0          9          0       1      1        1
11          34     0          9          0       1      1        1
7           36     0          9          0       1      1        1
8           36     0          9          0       1      1        1
9           36     0          9          0       1      1        1
10          36     0          9          0       1      1        1
11          36     0          9          0       1      1        1
7           35     0          9          0       1      1        1
8           35     0          9          0       1      1        1
9           35     0          9          0       1      1        1
10          35     0          9          0       1      1        1
11          35     0          9          0       1      1        1
7           26     0          9          0       1      1        1
8           26     0          9          0       1      1        1
9           26     0          9          0       1      1        1
10          26     0          9          0       1      1        1
11          26     0          9          0       1      1        1
7           41     0          9          0       1      1        1
8           41     0          9          0       1      1        1
9           41     0          9          0       1      1        1
10          41     0          9          0       1      1        1
11          41     0          9          0       1      1        1
8           15     0          9          0       1      1        1
9           15     0          9          0       1      1        1
10          15     0          9          0       1      1        1
11          15     0          9          0       1      1        1
6           13     0          9          0       1      1        1
6           14     0          9          0       1      1        1
14          13     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          22     0          0          0       0      0        0
14          42     0          0          0       0      0        0
14          16     0          0          0       0      0        0
14          19     5          7          0       0      0        0
13          18     6          8          0       0      0        0
14          28     7          7          0       0      0        0
13          51     3          5          0       0      0        0
end
