//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks    DropInventory	
"Battle Royale"		 1000	   100		  1		  0		    0		   0            0
end

1
//=====================================================================================================================================================================================================================
// SWORDS & CLAWS
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
0           3      6          15         1       1      4        1            // Katana
0           5      6          15         1       1      4        1            // Blade
0           7      6          15         1       1      4        1            // Falchion
0           8      6          15         1       1      4        1            // Serpent Sword
0           9      6          15         1       1      4        1            // Sword of Salamander
0           11     6          15         1       1      4        1            // Healical Sword
0           12     6          15         1       1      4        1            // Double Blade
0           16     6          15         1       1      4        1            // Sword of Destruction
0           17     6          15         1       1      4        1            // Dark Breaker
0           18     6          15         1       1      4        1            // Thunder Blade
0           20     6          15         1       1      4        1            // Divine Sword of Archangel
0           31     6          15         1       1      4        1            // Rune Blade
0           32     6          15         1       1      4        1            // Sacred Glove
0           33     6          15         1       1      4        1            // Holly Storm Claws
0           34     6          15         1       1      4        1            // Piercing Glove

0           3      6          15         0       1      4        0            // Katana
0           5      6          15         0       1      4        0            // Blade
0           7      6          15         0       1      4        0            // Falchion
0           8      6          15         0       1      4        0            // Serpent Sword
0           9      6          15         0       1      4        0            // Sword of Salamander
0           11     6          15         0       1      4        0            // Healical Sword
0           12     6          15         0       1      4        0            // Double Blade
0           16     6          15         0       1      4        0            // Sword of Destruction
0           17     6          15         0       1      4        0            // Dark Breaker
0           18     6          15         0       1      4        0            // Thunder Blade
0           20     6          15         0       1      4        0            // Divine Sword of Archangel
0           31     6          15         0       1      4        0            // Rune Blade
0           32     6          15         0       1      4        0            // Sacred Glove
0           33     6          15         0       1      4        0            // Holly Storm Claws
0           34     6          15         0       1      4        0            // Piercing Glove

//=====================================================================================================================================================================================================================
// MACE & SCEPTERS
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
2           1      6          15         1       1      4        1            // Morning Star
2           3      6          15         1       1      4        1            // Great Hammer
2           4      6          15         1       1      4        1            // Crystal Morning Star
2           5      6          15         1       1      4        1            // Crystal Sword
2           6      6          15         1       1      4        1            // Chaos Dragon Axe
2           7      6          15         1       1      4        1            // Elemental Mace
2           8      6          15         1       1      4        1            // Battle Scepter
2           9      6          15         1       1      4        1            // Master Scepter
2           10     6          15         1       1      4        1            // Great Scepter
2           11     6          15         1       1      4        1            // Lord Scepter
2           12     6          15         1       1      4        1            // Great Lord Scepter
2           13     6          15         1       1      4        1            // Divine Scepter of Archangel

2           1      6          15         0       1      4        0            // Morning Star
2           3      6          15         0       1      4        0            // Great Hammer
2           4      6          15         0       1      4        0            // Crystal Morning Star
2           5      6          15         0       1      4        0            // Crystal Sword
2           6      6          15         0       1      4        0            // Chaos Dragon Axe
2           7      6          15         0       1      4        0            // Elemental Mace
2           8      6          15         0       1      4        0            // Battle Scepter
2           9      6          15         0       1      4        0            // Master Scepter
2           10     6          15         0       1      4        0            // Great Scepter
2           11     6          15         0       1      4        0            // Lord Scepter
2           12     6          15         0       1      4        0            // Great Lord Scepter
2           13     6          15         0       1      4        0            // Divine Scepter of Archangel

//=====================================================================================================================================================================================================================
// SPEAR
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
3           0      6          15         1       1      4        1            // Light Spear
3           6      6          15         1       1      4        1            // Halberd
3           8      6          15         1       1      4        1            // Great Scythe
3           9      6          15         1       1      4        1            // Bill of Balrog
3           10     6          15         1       1      4        1            // Dragon Spear

3           0      6          15         0       1      4        0            // Light Spear
3           6      6          15         0       1      4        0            // Halberd
3           8      6          15         0       1      4        0            // Great Scythe
3           9      6          15         0       1      4        0            // Bill of Balrog
3           10     6          15         0       1      4        0            // Dragon Spear

//=====================================================================================================================================================================================================================
// BOW & CROSSBOW
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
4           0      6          15         1       1      4        1            // Short Bow
4           2      6          15         1       1      4        1            // Elven Bow
4           3      6          15         1       1      4        1            // Battle Bow
4           4      6          15         1       1      4        1            // Tiger Bow
4           5      6          15         1       1      4        1            // Silves Bow
4           6      6          15         1       1      4        1            // Chaos Nature Bow
4           9      6          15         1       1      4        1            // Golde Crossbow
4           13     6          15         1       1      4        1            // Bluewing Crossbow
4           14     6          15         1       1      4        1            // Aquagold Crossbow
4           17     6          15         1       1      4        1            // Celestial Bow
4           18     6          15         1       1      4        1            // Divine Crossbow of Archangeç
4           7      1          3          0       0      0        0            // Bolt
4           15     1          3          0       0      0        0            // Arrow

4           0      6          15         0       1      4        0            // Short Bow
4           2      6          15         0       1      4        0            // Elven Bow
4           3      6          15         0       1      4        0            // Battle Bow
4           4      6          15         0       1      4        0            // Tiger Bow
4           5      6          15         0       1      4        0            // Silves Bow
4           6      6          15         0       1      4        0            // Chaos Nature Bow
4           9      6          15         0       1      4        0            // Golde Crossbow
4           13     6          15         0       1      4        0            // Bluewing Crossbow
4           14     6          15         0       1      4        0            // Aquagold Crossbow
4           17     6          15         0       1      4        0            // Celestial Bow
4           18     6          15         0       1      4        0            // Divine Crossbow of Archangeç
4           7      1          3          0       0      0        0            // Bolt
4           15     1          3          0       0      0        0            // Arrow

//=====================================================================================================================================================================================================================
// STAFF & STICK
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
5           0      6          15         0       1      4        1            // Skull Staff
5           2      6          15         0       1      4        1            // Serpent Staff
5           3      6          15         0       1      4        1            // Thunder Staff
5           4      6          15         0       1      4        1            // Gorgon Staff
5           5      6          15         0       1      4        1            // Legendary Staff
5           6      6          15         0       1      4        1            // Staff of Resurrection
5           7      6          15         0       1      4        1            // Chaos Lighting Staff
5           8      6          15         0       1      4        1            // Staff of Destruction
5           9      6          15         0       1      4        1            // Divine Staff od Archangel
5           14     6          15         0       1      4        1            // Mystery Stick
5           15     6          15         0       1      4        1            // Violent Wing Stick
5           16     6          15         0       1      4        1            // Red Wing Stick
5           17     6          15         0       1      4        1            // Ancient Stick
5           18     6          15         0       1      4        1            // Demonic Stick
5           36     6          15         0       1      4        1            // Divine Stick of Archangel

5           0      6          15         0       1      4        0            // Skull Staff
5           2      6          15         0       1      4        0            // Serpent Staff
5           3      6          15         0       1      4        0            // Thunder Staff
5           4      6          15         0       1      4        0            // Gorgon Staff
5           5      6          15         0       1      4        0            // Legendary Staff
5           6      6          15         0       1      4        0            // Staff of Resurrection
5           7      6          15         0       1      4        0            // Chaos Lighting Staff
5           8      6          15         0       1      4        0            // Staff of Destruction
5           9      6          15         0       1      4        0            // Divine Staff od Archangel
5           14     6          15         0       1      4        0            // Mystery Stick
5           15     6          15         0       1      4        0            // Violent Wing Stick
5           16     6          15         0       1      4        0            // Red Wing Stick
5           17     6          15         0       1      4        0            // Ancient Stick
5           18     6          15         0       1      4        0            // Demonic Stick
5           36     6          15         0       1      4        0            // Divine Stick of Archangel

//=====================================================================================================================================================================================================================
// SHIELD
//=====================================================================================================================================================================================================================
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent    Comment
