//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	DropInventory
"God of Darkness"	 1000	   100		  2		  0		    0		   0            0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
//BOA
0           42     0          2          1       1      0        3 //Blood Sword
0           44     0          2          1       1      0        3 //Blood Magic Sword
0           100    0          2          1       1      0        3 //Blood Claw
2           22     0          2          1       1      0        3 //Blood Scepter
4           28     0          2          1       1      0        3 //Blood Bow
5           41     0          2          1       1      0        3 //Blood Staff
5           43     0          2          1       1      0        3 //Blood Stick
//RUIM
0           42     0          2          0       0      0        2 //Blood Sword
0           44     0          2          0       0      0        2 //Blood Magic Sword
0           100    0          2          0       0      0        2 //Blood Claw
2           22     0          2          0       0      0        2 //Blood Scepter
4           28     0          2          0       0      0        2 //Blood Bow
5           41     0          2          0       0      0        2 //Blood Staff
5           43     0          2          0       0      0        2 //Blood Stick

//BOA
0           52     0          2          1       1      0        3 //Dark Sword
0           53     0          2          1       1      0        3 //Dark Magic Sword
0           102    0          2          1       1      0        3 //Dark Claw
2           26     0          2          1       1      0        3 //Dark Scepter
4           31     0          2          1       1      0        3 //Dark Bow
5           51     0          2          1       1      0        3 //Dark Staff
5           53     0          2          1       1      0        3 //Dark Stick
//RUIM
0           52     0          2          0       0      0        2 //Dark Sword
0           53     0          2          0       0      0        2 //Dark Magic Sword
0           102    0          2          0       0      0        2 //Dark Claw
2           26     0          2          0       0      0        2 //Dark Scepter
4           31     0          2          0       0      0        2 //Dark Bow
5           51     0          2          0       0      0        2 //Dark Staff
5           53     0          2          0       0      0        2 //Dark Stick
end
