//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//Index   NonPK   ViewRange   ExperienceRate   ItemDropRate   ExcItemDropRate   SetItemDropRate   SocketItemDrop   HelperEnable   GensBattle	CustomAttack	CustomStore 	CustomPick	CommandHelper	CommandOffPvP	PkDropItem	AllowTrade	AccountLevel	DeathGate   	Comment
0         *       12          100              100            1000              0                 0                1              0             1            	1		1		1		1		1		1		0		17		"Lorencia"
1         *       12          100              100            1000              0                 0                1              0             1            	1		1		1		1		1		1		0		17		"Dungeon"
2         *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		22		"Devias"
3         *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		1		1		1		0		27		"Noria"
4         *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		42		"Lost Tower"
6         *       10          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		115		"Arena"
7         *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		49		"Atlans"
8         *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		57		"Tarkan"
9         *       10          150              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		27		"Devil Square 1"
10        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		42		"Icarus"
11        *       10          120              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 1"
12        *       10          120              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 2"
13        *       10          120              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 3"
14        *       10          120              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 4"
15        *       10          120              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 5"
16        *       10          120              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 6"
17        *       10          120              100            1000              500               0                1              0           	0            	0		0		1		1		0		1		0		22		"Blood Castle 7"
18        *       10          120              100            1000              500               0                0              0            	0            	0		0		1		1		0		1		0		17		"Chaos Castle 1"
19        *       10          100              100            1000              0                 0                0              0            	0            	0		0		1		1		0		1		0		17		"Chaos Castle 2"
20        *       10          100              100            1000              0                 0                0              0            	0            	0		0		1		1		0		1		0		17		"Chaos Castle 3"
21        *       10          100              100            1000              0                 0                0              0             0            	0		0		1		1		0		1		0		17		"Chaos Castle 4"
22        *       10          100              100            1000              0                 0                0              0            	0            	0		0		1		1		0		1		0		17		"Chaos Castle 5"
23        *       10          100              100            1000              0                 0                0              0           	0            	0		0		1		1		0		1		0		17		"Chaos Castle 6"
24        *       12          100              100            1000              0                 0                1              0          	1            	1		1		1		1		1		1		0		17		"Kalima 1"
25        *       12          100              100            1000              0                 0                1              0          	1            	1		1		1		1		1		1		0		17		"Kalima 2"
26        *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		1		1		1		0		17		"Kalima 3"
27        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		17		"Kalima 4"
28        *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		1		1		1		0		17		"Kalima 5"
29        *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		1		1		1		0		17		"Kalima 6"
30        *       10          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		100		"Castle Siege"
31        *       12          120              100            1000              500               0                1              0         	1            	0		1		1		1		1		1		0		106		"Land of Trials"
32        *       10          150              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		27		"Devil Square 2"
33        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		119		"Aida"
34        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		118		"Crywolf"
36        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		17		"Kalima 7"
37        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		138		"Kanturu 1"
38        *       12          100              100            1000              0                 0                1              0           	1            	1		1		1		1		1		1		0		139		"Kanturu 2"
39        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		137		"Kanturu 3"
40        *       12          100              100            1000              0                 0                1              0            	0            	1		0		1		1		0		1		0		402		"Silent"
41        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		256		"Barracks"
42        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		256		"Refuge"
45        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		17		"Illusion Temple 1"
46        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		17		"Illusion Temple 2"
47        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		17		"Illusion Temple 3"
48        *       12          100              100            1000              0                 0                1              0           	0            	0		0		1		1		0		1		0		17		"Illusion Temple 4"
49        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		17		"Illusion Temple 5"
50        *       12          100              100            1000              0                 0                1              0            	0            	0		0		1		1		0		1		0		17		"Illusion Temple 6"
51        *       12          100              100            1000              0                 0                1              0            	1            	1		1		1		1		1		1		0		267		"Elbeland"
52        *       10          100              100            1000              500               0                1              0            	0            	0		0		1		1		0		1		0		22		"Blood Castle 8"
53        *       10          100              100            1000              0                 0                0              0            	0            	0		0		1		1		0		1		0		17		"Chaos Castle 7"
