//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//Index   Message
0         "Blood Castle cerrará en %d minuto(s)"
1         "Blood castle cerró"
2         "Blood Castle %d comenzará en %d minuto(s)"
3         "Blood Castle comenzó"
4         "Todos los monstruos fueron derrotados!"
5         "Todos los monstruos jefes fueron derrotados!"
6         "Blood Castle terminó"
7         "Usted no es lo suficientemente fuerte para entrar en el Blood Castle"
8         "El jugador %s dejó caer el arma del ángel!"
9         "El jugador %s agarró el arma del ángel!"
10        "El jugador %s destruyó las puertas del castillo!"
11        "El jugador %s destruyó la estatua de hielo!"
16        "Chaos Castle se cerrará en %d minuto(s)"
17        "Chaos Castle cerró"
18        "Chaos Castle %d comenzará en %d minuto(s)"
19        "Chaos Castle comenzó"
20        "Chaos Castle terminó"
32        "Cuenta Free"
33        "Cuenta Bronce"
34        "Cuenta Plata"
35        "Cuenta Oro"
36        "¡No puedes usar este mapa!"
37        "¡No puedes unirte a una party"
38        " "
39        " "
40        " "
41        " "
42        " "
43        " "
44        " "
45        " "
46        " "
47        " "
48        " "
49        " "
50        " "
51        " "
52        " "
53        " "
54        " "
55        " "
56        " "
57        " "
58        " "
64        "Usted no tiene permiso para utilizar ese comando"
65        "Usted necesita ser al menos nivel %d para utilizar el comando /post"
66        "Usted debe tener al menos %d resets para utilizar el comando /post"
67        "Usted debe tener al menos %d de zen para utilizar el comando /post"
68        "Usted necesita esperar %d segundos para utilizar el comando /post"
69        "%s"
70        "Usted no tiene permiso para utilizar el el comando/add"
71        "Comando exclusivo de Dark Lord"
72        "No tiene suficientes puntos para agregar"
73        "Usted necesita tener al menos %d de zen para utilizar el comando /add"
74        "Usted agregó %d puntos, restan %d puntos para ser distribuidos"
75        "Usted no tiene permiso para usar el comando /pkclear"
76        "Usted no es PK"
77        "Usted necesita tener al menos %d de zen para utilizar el comando /pkclear"
78        "Usted no es más PK"
79        "Usted no tiene permiso para usar el comando /money"
80        "Ha introducido un valor no válido para agregarlo"
81        "Usted no tiene permiso para usar el comando /change"
82        "Usted necesita tener al menos %d de zen para utilizar el comando /change"
83        "Usted no puede evolucionar más"
84        "Usted ha evolucionado con éxito"
85        "Usted no tiene permiso para usar el comando /ware"
86        "Usted no puede usar el comando /ware por el momento"
87        "Usted ha introducido un baúl inválido para cambiar"
88        "Usted cambió al baúl %d con éxito"
89        "Usted no tiene permiso para usar el comando /reset"
90        "Usted no puede utilizar el comando /reset por el momento"
91        "Usted necesita ser al menos nivel %d para utilizar el comando /reset"
92        "Usted necesita ser al menos nivel %d de zen para utilizar el comando /reset"
93        "Usted no puede tener más de %d resets"
94        "Usted no puede resetear con elementos equipados"
95        "Usted reseteo con éxito, y ahora tiene %d resets"
96        "Usted no tiene permiso para usar el comando /gmmove"
97        "Usted ha introducido un blanco no válido para /gmmove"
98        "Usted no tiene permiso para usar el comando  /gmpost"
99        "Usted no tiene permiso para usar el comando  /track"
100       "Usted ha introducido un blanco inválido para ese comando"
101       "Usted no tiene permiso para usar el comando  /trace"
102       "Usted ha introducido un blanco inválido para ese comando"
103       "Usted no tiene permiso para usar el comando  /disconnect"
104       "Usted ha introducido un blanco inválido para /disconnect"
105       "Usted no tiene permiso para usar el comando /fireworks"
106       "Usted no tiene permiso para usar el comando  /make"
107       "Usted creó el artículo con éxito"
108       "Usted no tiene permiso para usar el comando  /skin"
109       "Usted ha introducido un blanco en el válido para /skin"
110       "Usted no tiene permiso para usar el comando  /setmoney"
111       "Usted ha introducido un blanco inválido para ese comando"
112       "Usted ha introducido un blanco inválido para ese comando"
113       "Usted ha introducido un blanco inválido para ese comando"
114       "Adición automática de puntos: Activada (%d)"
115       "Adición automática de puntos:: Desactivada"
116       "Reset automático: Activado"
117       "Reset automático: Desactivado"
118       "Usted no tiene permiso para usar el comando /mreset"
119       "Usted no puede usar el comando / mreset por el momento"
120       "Usted necesita tener al menos %d levels para utilizar el comando /mreset"
121       "Usted necesita tener al menos %d resets para utilizar el comando /mreset"
122       "Usted necesita tener al menos %d zen para utilizar el comando /mreset"
123       "Uster no puede tener más de %d master resets"
124       "Usted no puede hacer master resetar com elementos equipados"
125       "Usted reseteo con éxito, ahora tiene %d master resets"
126       "Recibimiento de solicitudes: Activado"
127       "Recibimiento de solicitudes: Desactivado"
128       "Recibimiento de solicitudes: Automático"
129       "Sólo se puede resetear %d veces por día"
130       "Sólo se puede resetear  %d veces por semana"
131       "Sólo se puede resetear  %d veces por mes"
132       "Solo puede hacer %d master resets por dia"
133       "Solo puede hacer %d master resets por semana"
134       "Solo puede hacer %d master resets por mes"
135       "Usted no tiene permiso para utilizar el comando /hide"
144       "Devil Square cerrará en %d minuto(s)"
145       "Devil Square cerró"
146       "Devil Square %d comenzará en %d minuto(s)"
147       "Devil Square comenzó"
148       "Devil Square terminó"
149       "Usted no es lo suficientemente fuerte para entrar al Devil Square"
160       "El jugador no esta conectado"
161       "No puede hacer un duelo en este momento"
162       "El jugador rechazó su petición de duelo automáticamente"
163       "Usted ya ha solicitado o ha sido pedido para hacer un duelo"
164       "El jugador objetivo ya ha solicitado o pedido para duelear"
165       "No puede hacer duelo estando en un Guild War"
166       "El jugador no puede hacer duelo estando en Guild War"
167       "Usted no puede hacer duelo en este mapa"
168       "El jugador no puede hacer duelo durante el Castle Siege"
169       "El nombre del jugador no es válido"
170       "Usted no puede hacer duelo con la autodefensa"
171       "El jugador no puede hacer duelo con autodefensa"
172       "El jugador rechazó su petición de duelo"
173       "Todas las arenas están llenas en este momento"
174       "El duelo entre %s y %s comenzó!"
175       "El jugador %s vence a %s en un duelo!"
176       "Illusion Temple cerrará en %d minuto(s)"
177       "Illusion Temple cerró"
178       "Illusion Temple %d comenzará en %d minuto(s)"
179       "Illusion Temple comenzó"
180       "Illusion Temple terminó"
181       "Usted no es lo suficientemente fuerte para entrar en el Illusion Temple"
182       "Usted no tiene el item necesario para entrar al Illusion Temple"
183       "El jugador %s dejó caer el item"
184       "El jugador %s agarró el item"
192       "La invasión de Skeleton King comenzó!"
193       "La invasión de Red Dragon comenzó!"
194       "La invasión de Dorados comenzó!"
195       "La invasión de White Wizard comenzó!"
196       "La invasión de Año Nuevo comenzó!"
197       "La invasión de Conejos comenzó!"
198       "La invasión de Verano comenzó!"
199       "La invasión de Navidad comenzó!"
200       "La invasión de Medusa comenzó!"
202       "El jugador %s derrotó a Skeleton King!"
203       "El jugador %s derrotó a Red Dragon!"
204       "El jugador %s derrotó a Golden Great Dragon!"
205       "El jugador %s derrotó a White Wizard!"
206       "El jugador %s derrotó a Cursed Santa!"
207       "El jugador %s derrotó a Medusa!"
208       "Moss Merchant apareció!"
209       "Moss Merchant se fué!"
210       "La invasión de Demonios comenzó!"
211       "La invasión del Evento de los huevos comenzó!"
224       "Usted necesita ser al menos nivel %d ir"
225       "Usted necesita ser al menos %d de zen para moverse"
226       "Usted no se puede mover por el momento"
227       "Los asesinos no pueden moverse"
228       "Usted no tiene el equipo correcto para moverse"
229       "Sólo miembros de una de las familias del gens pueden moverse"
230       "Usted necesita ser nivel %d para moverse"
231       "Usted neceista un mínimo de %d resets para moverse"
232       "Usted neceista un máximo de %d resets para moverse"
240       "Sign of lord no está activo por el momento"
241       "Sign of lord no funciona durante el Castle Siege"
242       "Usted necesita estar en el clan del castillo para utilizar el Sign of lord"
243       "Usted necesita ser el dueño del clan para utilizar el Sign of lord"
244       "El Guardsman no funciona durante el Castle Siege"
245       "Usted ya está en un clan"
246       "Usted no tiene el nivel necesario para crear un clan"
247       "El shop esá vacío"
248       "Nível de tu cuenta: Free"
249       "Nível de tu cuenta: Oro (%s)"
250       "Nível de tu cuenta: Plata (%s)"
251       "Nível de tu cuenta: Bronze (%s)"
256       "Bienvenido %s"
257       "Usted necesita ser al menos nivel 40 para usar el anillo"
258       "Usted necesita ser al menos nivel 48 para usar el anillo"
259       "Usted no se puede mover a este mapa por el momento"
260       "Usted no puede recoger este ítem por el momento"
261       "Usted no puede salir del juego con el un trade abierto"
262       "Usted no puede salir del juego con el Baúl abierto"
263       "Usted no puede salir del juego cuando está convinando ítems"
264       "Usted no puede salir del juego con el Trainer abierto"
265       "Usted no puede salir del juego estando en Self Defense"
266       "Usted está en el nivel máximo"
267       "Usted está en el master level máximo"
268       "Sólo se puede agregar %d puntos"
269       "Usted no puede hablar durante %d segundos"
270       "No puedes enviarte un mensaje a vos mismo!"
271       "Hola, soy un guardia Te estoy vigilando"
272       "No fue posible telentransportarse"
273       "Usted será teletransportado en %d segundo(s)"
274       "No se puede mover a este mapa con mascotas"
275       "No se puede mover a este mapa sin alas"
276       "Regalo del CashShop"
304       "¡El Ice Walker apareció!"
305       "Usted no es lo suficientemente fuerte para entrar al Double Goer"
306       "El Ice Walker fué derrotado!"
320       "¡El Selupan apareció! La puerta de la incubadora se cerrará en %d minuto(s)"
321       "La puerta de la incubadora cerró"
322       "El jugador %s derroto o Selupan!"
323       "La puerta de la incubadora se abrirá en 24 hora(s)"
324       "La puerta de la incubadora abrió!"
325       "La puerta de la incubadora está cerrada"
336       "La Torre de Refinamento se cerrará en 60 minuto(s)"
337       "La Torre de Refinamento se cerrará en 20 minuto(s)"
338       "La Puerta de Kanturu abrirá en 1 minuto(s)"
339       "La batalla contra Maya comenzará pronto, prepárese"
340       "La próxima batalla comenzará en 1 minuto(s)"
